Country,City,AccentCity,Region,Population,Latitude,Longitude,Test3,Prefecture
jp,ajima,Ajima,8,,37.2,139.766667,37.2,fukushima
jp,ajima,Ajima,26,,35.516667,137.883333,35.516667,nagano
jp,ajimine,Ajimine,47,,26.2,127.65,26.2,okinawa
jp,ajinnine,Ajinnine,47,,26.2,127.65,26.2,okinawa
jp,ajino,Ajino,31,,34.466667,133.8,34.466667,okayama
jp,ajiro,Ajiro,5,,33.032972,132.404045,33.032972,ehime
jp,ajiro,Ajiro,27,,34.65,129.466667,34.65,nagasaki
jp,ajiro,Ajiro,37,,35.05,139.083333,35.05,shizuoka
jp,ajiro,Ajiro,41,,35.583333,134.3,35.583333,tottori
jp,ajirohama,Ajirohama,29,,38.005,139.253333,38.005,niigata
jp,ajisu,Ajisu,45,,34.003333,131.354444,34.003333,yamaguchi
jp,aka,Aka,11,,34.233333,132.6,34.233333,hiroshima
jp,aka,Aka,47,,26.188056,127.273889,26.188056,okinawa
jp,akabane,Akabane,1,,34.616667,137.2,34.616667,aichi
jp,akabane,Akabane,16,,39.266667,141.6,39.266667,iwate
jp,akabane,Akabane,21,,32.816667,131.183333,32.816667,kumamoto
jp,akabane,Akabane,40,,35.766667,139.716667,35.766667,tokyo
jp,akabanemachi,Akabanemachi,40,,35.766667,139.716667,35.766667,tokyo
jp,akabane-nishiku,Akabane-nishiku,1,,34.6,137.183333,34.6,aichi
jp,akabira,Akabira,12,14214,43.551389,142.053056,43.551389,hokkaido
jp,akadani,Akadani,25,,32.683333,131.2,32.683333,miyazaki
jp,akadomari,Akadomari,29,,37.866667,138.416667,37.866667,niigata
jp,akagami,Akagami,12,,41.466667,140.016667,41.466667,hokkaido
jp,akagawa,Akagawa,11,,34.816667,133.05,34.816667,hiroshima
jp,akagawa,Akagawa,12,,42.07,139.455,42.07,hokkaido
jp,akagina,Akagina,18,,28.45,129.683333,28.45,kagoshima
jp,akahane,Akahane,21,,32.816667,131.183333,32.816667,kumamoto
jp,akaho,Akaho,13,,34.75,134.4,34.75,hyogo
jp,akaho,Akaho,26,,35.733333,137.933333,35.733333,nagano
jp,akai,Akai,24,,38.447233,141.233549,38.447233,miyagi
jp,akai,Akai,34,,35.816667,139.75,35.816667,saitama
jp,akaigawa,Akaigawa,12,,43.083333,140.817222,43.083333,hokkaido
jp,akaike,Akaike,4,,35.8,140.45,35.8,chiba
jp,akaike,Akaike,7,,33.7,130.766667,33.7,fukuoka
jp,akaishi,Akaishi,3,,40.756111,140.168056,40.756111,aomori
jp,akaishi,Akaishi,12,,42.140278,139.52,42.140278,hokkaido
jp,akaishi,Akaishi,16,,39.366667,140.766667,39.366667,iwate
jp,akaishi,Akaishi,24,,38.209722,140.753056,38.209722,miyagi
jp,akaishi,Akaishi,26,,36.983333,138.516667,36.983333,nagano
jp,akaishicho,Akaishicho,39,,33.983333,134.616667,33.983333,tokushima
jp,akaishimachi,Akaishimachi,3,,40.75,140.166667,40.75,aomori
jp,akaisi,Akaisi,12,,42.140278,139.52,42.140278,hokkaido
jp,akaiwa,Akaiwa,12,,43.766667,141.366667,43.766667,hokkaido
jp,akaiwa,Akaiwa,34,,36.2,139.433333,36.2,saitama
jp,akakina,Akakina,18,,28.45,129.683333,28.45,kagoshima
jp,akakura,Akakura,29,,36.883333,138.183333,36.883333,niigata
jp,akakura,Akakura,38,,36.666667,139.45,36.666667,tochigi
jp,akakura,Akakura,44,,38.707222,140.551944,38.707222,yamagata
jp,akama,Akama,7,,33.8,130.583333,33.8,fukuoka
jp,akama,Akama,38,,36.266667,139.666667,36.266667,tochigi
jp,akamae,Akamae,16,,39.575,141.955,39.575,iwate
jp,akamasa,Akamasa,47,,26.335067,127.880708,26.335067,okinawa
jp,akamatsu,Akamatsu,26,,36.183333,137.8,36.183333,nagano
jp,akamatsu,Akamatsu,31,,35.133333,133.533333,35.133333,okayama
jp,akamatsu,Akamatsu,44,,38.673889,140.237778,38.673889,yamagata
jp,akamatsucho,Akamatsucho,33,,33.25,130.3,33.25,saga
jp,akamatsumachi,Akamatsumachi,33,,33.25,130.3,33.25,saga
jp,akamine,Akamine,47,,26.195572,127.661569,26.195572,okinawa
jp,akamizu,Akamizu,27,,32.933333,130.033333,32.933333,nagasaki
jp,akamuya,Akamuya,47,,26.335067,127.880708,26.335067,okinawa
jp,akana,Akana,36,,35,132.716667,35,shimane
jp,akanashi,Akanashi,26,,36.35,137.933333,36.35,nagano
jp,akane,Akane,30,,33.6,131.583333,33.6,oita
jp,akanehama,Akanehama,4,,35.655,140,35.655,chiba
jp,aka-niida,Aka-niida,24,,38.7,140.916667,38.7,miyagi
jp,aka-niita,Aka-niita,24,,38.7,140.916667,38.7,miyagi
jp,aka-nitta,Aka-nitta,24,,38.7,140.916667,38.7,miyagi
jp,akankohan,Akankohan,12,,43.425,144.101389,43.425,hokkaido
jp,akano,Akano,39,,33.883333,133.766667,33.883333,tokushima
jp,akanuma,Akanuma,8,,37.366667,140.433333,37.366667,fukushima
jp,akanuma,Akanuma,24,,38.357305,141.034873,38.357305,miyagi
jp,akao,Akao,27,,33,129.166667,33,nagasaki
jp,akaogi,Akaogi,18,,28.416667,129.633333,28.416667,kagoshima
jp,akaoka,Akaoka,20,,33.533333,133.716667,33.533333,kochi
jp,akaoki,Akaoki,18,,28.416667,129.633333,28.416667,kagoshima
jp,akare,Akare,18,,28.316667,129.933333,28.316667,kagoshima
jp,akaren,Akaren,18,,28.316667,129.933333,28.316667,kagoshima
jp,akasa,Akasa,18,,27.05,128.416667,27.05,kagoshima
jp,akasaka,Akasaka,1,,34.85,137.3,34.85,aichi
jp,akasaka,Akasaka,9,,35.383333,136.583333,35.383333,gifu
jp,akasaka,Akasaka,13,,34.716667,134.95,34.716667,hyogo
jp,akasaka,Akasaka,24,,38.288611,140.742222,38.288611,miyagi
jp,akasaka,Akasaka,40,,35.666667,139.716667,35.666667,tokyo
jp,akasaka,Akasaka,41,,35.516667,133.583333,35.516667,tottori
jp,akasaka,Akasaka,44,,38.838056,140.325278,38.838056,yamagata
jp,akasaka-aoyama-minamicho,Akasaka-Aoyama-minamicho,40,,35.65,139.716667,35.65,tokyo
jp,akasaka-cho,Akasaka-cho,9,,35.383333,136.583333,35.383333,gifu
jp,akasakacho,Akasakacho,9,,35.383333,136.583333,35.383333,gifu
jp,akasakada,Akasakada,16,,40.05,141,40.05,iwate
jp,akasaka-nagano,Akasaka-nagano,8,,37.05,140.516667,37.05,fukushima
jp,akasaka-nakano,Akasaka-nakano,8,,37.033333,140.5,37.033333,fukushima
jp,akasakata,Akasakata,16,,40.05,141,40.05,iwate
jp,akasaki,Akasaki,6,,35.687778,136.086667,35.687778,fukui
jp,akasaki,Akasaki,11,,34.316667,132.3,34.316667,hiroshima
jp,akasaki,Akasaki,15,,37.166667,136.683333,37.166667,ishikawa
jp,akasaki,Akasaki,16,,39.055,141.766667,39.055,iwate
jp,akasaki,Akasaki,21,,32.85,130.583333,32.85,kumamoto
jp,akasaki,Akasaki,41,,35.516667,133.633333,35.516667,tottori
jp,akashi,Akashi,11,,34.208333,132.878333,34.208333,hiroshima
jp,akashi,Akashi,13,297281,34.633333,134.983333,34.633333,hyogo
jp,akashi,Akashi,26,,36.983333,138.516667,36.983333,nagano
jp,akashicho,Akashicho,40,,35.666667,139.783333,35.666667,tokyo
jp,akashiki,Akashiki,47,,26.1925,127.358611,26.1925,okinawa
jp,akashina,Akashina,26,,36.35,137.933333,36.35,nagano
jp,akashinden,Akashinden,24,,38.7,140.916667,38.7,miyagi
jp,akasi,Akasi,13,,34.633333,134.983333,34.633333,hyogo
jp,akaska,Akaska,24,,38.288611,140.742222,38.288611,miyagi
jp,akasumi,Akasumi,15,,37.05,136.733333,37.05,ishikawa
jp,akatani,Akatani,25,,32.683333,131.2,32.683333,miyazaki
jp,akatsuka,Akatsuka,29,,37.816667,138.883333,37.816667,niigata
jp,akatsuka,Akatsuka,36,,35.05,132.6,35.05,shimane
jp,akautsu,Akautsu,24,,38.583333,141.233333,38.583333,miyagi
jp,akawa,Akawa,45,,34.333333,130.933333,34.333333,yamaguchi
jp,akayu,Akayu,44,,38.053611,140.188056,38.053611,yamagata
jp,akazaka,Akazaka,41,,35.516667,133.583333,35.516667,tottori
jp,akazaki,Akazaki,41,,35.516667,133.633333,35.516667,tottori
jp,akazuka,Akazuka,36,,35.05,132.6,35.05,shimane
jp,akechi,Akechi,9,,35.3,137.383333,35.3,gifu
jp,akeda,Akeda,47,,26.334444,127.806111,26.334444,okinawa
jp,akedo,Akedo,16,,40.3,141.633333,40.3,iwate
jp,akedo,Akedo,34,,36.216667,139.3,36.216667,saitama
jp,akeharu,Akeharu,5,,33.233333,132.7,33.233333,ehime
jp,akena,Akena,47,,26.370556,127.851111,26.370556,okinawa
jp,akeno,Akeno,23,,34.516667,136.666667,34.516667,mie
jp,akenobe,Akenobe,13,,35.266667,134.666667,35.266667,hyogo
jp,akeshina,Akeshina,26,,36.35,137.933333,36.35,nagano
jp,aketo,Aketo,16,,40.3,141.633333,40.3,iwate
jp,aketo,Aketo,34,,36.216667,139.3,36.216667,saitama
jp,akezuka,Akezuka,36,,35.05,132.6,35.05,shimane
jp,akiajiba,Akiajiba,12,,43.433333,145.933333,43.433333,hokkaido
jp,aki,Aki,20,20118,33.5,133.9,33.5,kochi
jp,akibetsu,Akibetsu,12,,43.266667,144.1,43.266667,hokkaido
jp,akifu,Akifu,6,,35.833333,136.566667,35.833333,fukui
jp,akii,Akii,20,,33.5,133.9,33.5,kochi
jp,akime,Akime,18,,31.35,130.2,31.35,kagoshima
jp,akimoto,Akimoto,8,,37.65,140.116667,37.65,fukushima
jp,akina,Akina,18,,28.166667,129.333333,28.166667,kagoshima
jp,akinari,Akinari,29,,36.983333,138.666667,36.983333,niigata
jp,akinokami,Akinokami,39,,34.2,134.583333,34.2,tokushima
jp,akinome,Akinome,18,,31.35,130.2,31.35,kagoshima
jp,akiruno,Akiruno,40,82022,35.749435,139.248346,35.749435,tokyo
jp,akisato,Akisato,13,,34.95,134.316667,34.95,hyogo
jp,akishima,Akishima,40,107926,35.720848,139.379991,35.720848,tokyo
jp,akita,Akita,2,320071,39.716667,140.116667,39.716667,akita
jp,akita,Akita,12,,43.533333,144.016667,43.533333,hokkaido
jp,akita-dantai,Akita-dantai,12,,43.533333,144.016667,43.533333,hokkaido
jp,akita-shi,Akita-shi,2,,39.718056,140.103334,39.718056,akita
jp,akitsu,Akitsu,11,,34.316667,132.821667,34.316667,hiroshima
jp,akiyoshi,Akiyoshi,45,,34.216667,131.283333,34.216667,yamaguchi
jp,akizuki,Akizuki,7,,33.466667,130.683333,33.466667,fukuoka
jp,akizuki,Akizuki,11,,34.233333,132.483333,34.233333,hiroshima
jp,akizuki,Akizuki,39,,34.1,134.316667,34.1,tokushima
jp,akizuki,Akizuki,43,,34.216667,135.2,34.216667,wakayama
jp,akizukimachi,Akizukimachi,7,,33.466667,130.683333,33.466667,fukuoka
jp,akkeshi,Akkeshi,12,,43.035556,144.8525,43.035556,hokkaido
jp,akkesi,Akkesi,12,,43.035556,144.8525,43.035556,hokkaido
jp,ako,Ako,9,,35.55,137.25,35.55,gifu
jp,ako,Ako,13,52016,34.75,134.4,34.75,hyogo
jp,ako,Ako,40,,34.083333,139.483333,34.083333,tokyo
jp,akoma,Akoma,19,,35.608611,139.205278,35.608611,kanagawa
jp,akotsu,Akotsu,24,,38.583333,141.233333,38.583333,miyagi
jp,akozu,Akozu,24,,38.583333,141.233333,38.583333,miyagi
jp,akubetsu,Akubetsu,12,,43.266667,144.1,43.266667,hokkaido
jp,akuchi,Akuchi,31,,35.016667,133.633333,35.016667,okayama
jp,akudo,Akudo,24,,38.495266,141.113793,38.495266,miyagi
jp,akunoura,Akunoura,27,,32.733333,129.85,32.733333,nagasaki
jp,akunouramachi,Akunouramachi,27,,32.733333,129.85,32.733333,nagasaki
jp,akura,Akura,20,,33.516667,134.166667,33.516667,kochi
jp,akutami,Akutami,9,,35.45,136.833333,35.45,gifu
jp,akuto,Akuto,16,,40.3,141.633333,40.3,iwate
jp,akutsu,Akutsu,10,,36.5,139,36.5,gunma
jp,ama,Ama,13,,34.2,134.733333,34.2,hyogo
jp,ama,Ama,36,,36.1,133.116667,36.1,shimane
jp,ama,Ama,47,,26.223056,127.289167,26.223056,okinawa
jp,amaariki,Amaariki,4,,35.466667,140.133333,35.466667,chiba
jp,amadareishi,Amadareishi,12,,41.483333,140.016667,41.483333,hokkaido
jp,amafune,Amafune,13,,35.033333,134.883333,35.033333,hyogo
jp,amagasaki,Amagasaki,13,442176,34.716667,135.416667,34.716667,hyogo
jp,amagase,Amagase,28,,34.2,135.983333,34.2,nara
jp,amagase,Amagase,30,,33.25,131.033333,33.25,oita
jp,amagi,Amagi,7,42312,33.416667,130.65,33.416667,fukuoka
jp,amagoya,Amagoya,15,,37.852461,136.922469,37.852461,ishikawa
jp,amahitai,Amahitai,16,,39.833333,141.766667,39.833333,iwate
jp,amaji,Amaji,20,,32.8,132.65,32.8,kochi
jp,amaki,Amaki,7,,33.416667,130.65,33.416667,fukuoka
jp,amamui,Amamui,30,,33.033333,131.916667,33.033333,oita
jp,amanogo,Amanogo,45,,33.95,130.916667,33.95,yamaguchi
jp,amanogocho,Amanogocho,45,,33.95,130.916667,33.95,yamaguchi
jp,amanome,Amanome,24,,38.116667,140.9,38.116667,miyagi
jp,amarube,Amarube,13,,35.65,134.55,35.65,hyogo
jp,amarume,Amarume,44,,38.838333,139.883333,38.838333,yamagata
jp,amase,Amase,29,,37.533333,138.666667,37.533333,niigata
jp,amasoko,Amasoko,47,,26.671111,127.985556,26.671111,okinawa
jp,amatsu,Amatsu,4,,35.116667,140.166667,35.116667,chiba
jp,amatu,Amatu,4,,35.116667,140.166667,35.116667,chiba
jp,amau,Amau,9,,36.266667,137.016667,36.266667,gifu
jp,amaya,Amaya,8,,37.566667,139.75,37.566667,fukushima
jp,amazaki,Amazaki,5,,34.240278,133.05,34.240278,ehime
jp,amaze,Amaze,29,,37.533333,138.666667,37.533333,niigata
jp,amazi,Amazi,20,,32.8,132.65,32.8,kochi
jp,ambo,Ambo,18,,30.316667,130.65,30.316667,kagoshima
jp,ameku,Ameku,47,,26.234722,127.676389,26.234722,okinawa
jp,amesoko,Amesoko,47,,26.671111,127.985556,26.671111,okinawa
jp,amesoku,Amesoku,47,,26.671111,127.985556,26.671111,okinawa
jp,ami,Ami,14,48257,36.033333,140.2,36.033333,ibaraki
jp,amidaji,Amidaji,43,,33.65,135.9,33.65,wakayama
jp,amihama,Amihama,31,,34.633333,133.933333,34.633333,okayama
jp,amike,Amike,47,,26.234722,127.676389,26.234722,okinawa
jp,amikiyaba,Amikiyaba,18,,28.466667,129.616667,28.466667,kagoshima
jp,amikoyaba,Amikoyaba,18,,28.466667,129.616667,28.466667,kagoshima
jp,amiku,Amiku,47,,26.234722,127.676389,26.234722,okinawa
jp,amino,Amino,22,,35.683333,135.033333,35.683333,kyoto
jp,aminohama,Aminohama,31,,34.633333,133.933333,34.633333,okayama
jp,aminoko,Aminoko,18,,28.166667,129.366667,28.166667,kagoshima
jp,amishiro,Amishiro,37,,35.05,139.083333,35.05,shizuoka
jp,amisuku,Amisuku,47,,26.671111,127.985556,26.671111,okinawa
jp,amo,Amo,6,,36.25,136.133333,36.25,fukui
jp,amo,Amo,9,,36.266667,137.016667,36.266667,gifu
jp,amuro,Amuro,47,,26.218056,127.751389,26.218056,okinawa
jp,amurogama,Amurogama,18,,28.216667,129.3,28.216667,kagoshima
jp,amurokama,Amurokama,18,,28.216667,129.3,28.216667,kagoshima
jp,amuru,Amuru,47,,26.218056,127.751389,26.218056,okinawa
jp,anabuki,Anabuki,39,,34.05,134.166667,34.05,tokushima
jp,anafuki,Anafuki,39,,34.05,134.166667,34.05,tokushima
jp,anaga,Anaga,13,,34.266667,134.666667,34.266667,hyogo
jp,anagamo,Anagamo,41,,35.316667,133.833333,35.316667,tottori
jp,anagaura,Anagaura,13,,34.266667,134.666667,34.266667,hyogo
jp,anamizu,Anamizu,15,,37.233333,136.9,37.233333,ishikawa
jp,anan,Anan,39,55422,33.916667,134.65,33.916667,tokushima
jp,ananohara,Ananohara,24,,38.840556,140.773611,38.840556,miyagi
jp,anasawa,Anasawa,38,,37.033333,139.95,37.033333,tochigi
jp,anazawa,Anazawa,38,,37.033333,139.95,37.033333,tochigi
jp,anden,Anden,2,,39.966667,139.85,39.966667,akita
jp,ando,Ando,16,,39.35,141.916667,39.35,iwate
jp,anebetsu,Anebetsu,12,,42.95,143.5,42.95,hokkaido
jp,anegasaki,Anegasaki,4,,35.48,140.033333,35.48,chiba
jp,anesaki,Anesaki,4,,35.48,140.033333,35.48,chiba
